N,P,b,f,name,seed,time,R_wmu,R_muc,R_cw,agenda_cw,biased_cw,unbiased_cw,sign_cw,accessible_norm_fraction,agenda_C,mean_V,min_V,min_C_eigenvalue,psd_clips,z_floor_hits,v_floor_hits,realized_f
40,100,0.5,1.0,a_reference,202609112,1000,0.9868906857632688,0.9942125175490624,0.9926351045147668,0.9926351045147667,0.9926351045147667,nan,1.0,1.0,0.015242739968658651,0.023649759678912922,0.011843532257100917,0.002649069261317385,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609112,2500,0.9904556973376596,0.9967419019758871,0.9936930319194494,0.9936930319194495,0.9936930319194495,nan,1.0,1.0000000000000002,0.009365471522328956,0.014579497246179261,0.006842388047403556,0.0014225429065779862,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609112,5000,0.9921102671870484,0.997857628713544,0.9942401632296172,0.9942401632296173,0.9942401632296173,nan,1.0,1.0,0.00658841081583393,0.010143748724680584,0.004711650391641392,0.000895155965316852,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609112,10000,0.9932534143293063,0.9985781680962911,0.9946675806232791,0.994667580623279,0.994667580623279,nan,1.0,1.0,0.0046840585787191686,0.007067553722733462,0.0032435274661378466,0.0005651245617319643,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609113,0,-0.004217025512642517,0.008264903455092875,0.003654614474145586,0.003654614474145586,0.003654614474145586,nan,-0.004128205128205128,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609113,125,0.9621396548535803,0.9742695703126264,0.9875477615548981,0.9875477615548983,0.9875477615548983,nan,0.9873076923076922,1.0000000000000004,0.04890934643503333,0.07532829629321626,0.0355223632828215,0.012570755393273776,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609113,500,0.9850632933404448,0.9907339996941177,0.9942759347087397,0.9942759347087399,0.9942759347087399,nan,1.0,1.0000000000000004,0.020078541483193706,0.03428454732036287,0.01602690584758948,0.004168412965593834,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609113,1000,0.989593840629028,0.9941371066749682,0.9954297734916737,0.9954297734916737,0.9954297734916737,nan,1.0,1.0000000000000004,0.013395360692452958,0.023607206511037822,0.010868576458005473,0.002486357341943649,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609113,2500,0.9929236521136927,0.9967020298653936,0.9962090417060414,0.9962090417060414,0.9962090417060414,nan,1.0,1.0000000000000004,0.008087853867340932,0.014538229394726277,0.006678825430907372,0.0012560362696029705,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609113,5000,0.9943789378170845,0.997833248089832,0.9965381407326036,0.9965381407326036,0.9965381407326036,nan,1.0,1.0000000000000004,0.0056359455360540005,0.010110283949504199,0.004592181663314975,0.0007602792756362369,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609113,10000,0.9953008328709829,0.9985627932318482,0.9967333151808448,0.9967333151808448,0.9967333151808448,nan,1.0,1.0000000000000004,0.003987228043084518,0.0070413417206845194,0.0031621479970001436,0.00045708458173454467,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609114,0,0.0004805128108364578,0.007064013459859216,-0.0030819410184124802,-0.003081941018412488,-0.003081941018412488,nan,0.0004615384615384613,1.0000000000000004,1.0,1.0,1.0,1.0,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609114,125,0.9603522131160802,0.9747913319021189,0.9851850688058674,0.9851850688058671,0.9851850688058671,nan,1.0,0.9999999999999998,0.0499750802591765,0.07622797983980455,0.042042766234891664,0.012383756446751005,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609114,500,0.9849030113197434,0.9909254372742814,0.9939221555476598,0.9939221555476597,0.9939221555476597,nan,1.0,0.9999999999999997,0.020401986856810026,0.0347264225010743,0.018147492747082605,0.0041532149614206685,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609114,1000,0.9896206806452388,0.9942612834138972,0.9953325034737223,0.9953325034737224,0.9953325034737224,nan,1.0,0.9999999999999997,0.013571107183637998,0.02392290201217176,0.011620230532848214,0.0024656313637541408,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609114,2500,0.9931382342156578,0.9967724457252491,0.9963539939197599,0.9963539939197598,0.9963539939197598,nan,1.0,0.9999999999999997,0.008146117677233413,0.014736991031949986,0.006917834098637549,0.001282157807756532,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609114,5000,0.9947470403674887,0.9978790088588828,0.9968613622616544,0.9968613622616543,0.9968613622616543,nan,1.0,0.9999999999999997,0.005631705010191227,0.010249630891493068,0.00472375104014048,0.0007852806170564369,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609114,10000,0.9958142325132738,0.9985929832269939,0.9972173279697769,0.9972173279697768,0.9972173279697768,nan,1.0,0.9999999999999997,0.003943814252598991,0.007139625520589525,0.003264694639114492,0.000489012161254112,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609115,0,0.002030267786546898,-0.00907501001303264,-2.3746836899525168e-05,-2.374683689951805e-05,-2.374683689951805e-05,nan,-2.564102564102621e-05,0.9999999999999997,1.0,1.0,1.0,1.0,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609115,125,0.9640340879740136,0.9749475386540183,0.9888050109068058,0.9888050109068062,0.9888050109068062,nan,1.0,1.0000000000000007,0.04999629556567423,0.07623548453459612,0.04217809833233906,0.012391434301819665,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609115,500,0.9864049990315992,0.9909795150618486,0.9953837310628049,0.9953837310628051,0.9953837310628051,nan,1.0,1.0000000000000007,0.02050862984236039,0.0347077883931508,0.018202416891001633,0.004120135067676756,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609115,1000,0.9907339790908497,0.994290545970251,0.9964229289866195,0.9964229289866197,0.9964229289866197,nan,1.0,1.0000000000000007,0.013709150282639809,0.023906752551490548,0.012124136696964456,0.0024243468715743,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609115,2500,0.9938506092117821,0.9967875514070084,0.9970535525732541,0.9970535525732538,0.9970535525732538,nan,1.0,1.0000000000000004,0.008335817356324328,0.014731535928700017,0.007228886661163414,0.0012119746988565993,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609115,5000,0.9951517760887336,0.9978885305744478,0.9972574273332626,0.9972574273332625,0.9972574273332625,nan,1.0,1.0000000000000007,0.005867933533834863,0.01024774182594862,0.005009531619545237,0.0007279919494526917,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609115,10000,0.9959259026161632,0.9985990941869801,0.9973230392036561,0.9973230392036563,0.9973230392036563,nan,1.0,1.0000000000000007,0.004218144545345002,0.007139011027358373,0.003442112355582336,0.000442817166786869,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609116,0,-0.0009080371206141489,-0.0027543828459559356,0.015033462811259363,0.015033462811259377,0.015033462811259377,nan,0.018717948717948723,1.0000000000000004,1.0,1.0,1.0,1.0,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609116,125,0.957877990318826,0.9748538654784051,0.9825809965546575,0.9825809965546571,0.9825809965546571,nan,0.9871282051282051,0.9999999999999997,0.05554849100401979,0.07510119986884614,0.038394924847622434,0.013467504220745533,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609116,500,0.9827063427960022,0.9908585262464664,0.9917714396100378,0.9917714396100379,0.9917714396100379,nan,1.0,0.9999999999999997,0.02343165501724546,0.034414378416947014,0.01681720709929587,0.0045011489210937386,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609116,1000,0.9873699248098317,0.9942081021577993,0.993121353220849,0.9931213532208486,0.9931213532208486,nan,1.0,0.9999999999999997,0.015863890059563002,0.023727113226931867,0.011356771456600084,0.002645512985248775,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609116,2500,0.9908800084047176,0.9967395795576032,0.994120913327612,0.9941209133276118,0.9941209133276118,nan,1.0,0.9999999999999997,0.009752142765452979,0.014626065224365953,0.006783929765619016,0.0013500287855967416,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609116,5000,0.9924170558025489,0.997857072680996,0.9945480683688828,0.9945480683688828,0.9945480683688828,nan,1.0,0.9999999999999997,0.006880002686604431,0.010174617498014097,0.004709173640102654,0.0008228891085968103,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609116,10000,0.9933308690827872,0.9985782722380481,0.9947449629486476,0.9947449629486478,0.9947449629486478,nan,1.0,0.9999999999999997,0.0049238252355918825,0.007087439505117765,0.003238960427059662,0.0005103110478758908,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609117,0,-0.0023253952378594926,-0.008133294849679451,0.00044640440841913024,0.0004464044084191352,0.0004464044084191352,nan,-0.005128205128205127,0.9999999999999997,1.0,1.0,1.0,1.0,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609117,125,0.9603593827333181,0.9745473828184428,0.9854371770851315,0.9854371770851315,0.9854371770851315,nan,0.9940769230769232,0.9999999999999997,0.05263685902560308,0.0747593414464372,0.03734778243590408,0.011939850396215068,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609117,500,0.9844157189472916,0.9907936697044921,0.9935619937048351,0.9935619937048349,0.9935619937048349,nan,1.0,0.9999999999999997,0.02174125850277399,0.034135994580111566,0.01487503311896657,0.004288439714847829,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609117,1000,0.9891683595375027,0.9941671607320858,0.9949714300334385,0.9949714300334385,0.9949714300334385,nan,1.0,0.9999999999999997,0.014512746233100919,0.02352577898699687,0.009834667785204068,0.002588512424334857,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609117,2500,0.9926904514070642,0.9967150501614278,0.9959619189663229,0.9959619189663229,0.9959619189663229,nan,1.0,0.9999999999999997,0.00874391461155766,0.01450115117680212,0.00599588930256949,0.0013636516808830169,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609117,5000,0.9942723855801237,0.9978400541599781,0.9964244785065862,0.9964244785065862,0.9964244785065862,nan,1.0,0.9999999999999998,0.006070706685921712,0.010088936355014023,0.0041478966866135385,0.0008602966594619038,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609117,10000,0.9952938311396334,0.9985665683360151,0.9967224829108627,0.9967224829108625,0.9967224829108625,nan,1.0,0.9999999999999997,0.004270221782457063,0.0070291801603685755,0.0028667451038474224,0.0005507169359627203,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609118,0,-0.0015537416273332008,-0.001536714536824825,-0.00832467170618829,-0.008324671706188285,-0.008324671706188285,nan,-0.00323076923076923,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609118,125,0.9626254790307872,0.9746386227996566,0.9876740531035635,0.987674053103563,0.987674053103563,nan,0.998051282051282,1.0000000000000004,0.04895169340263708,0.07646999523254422,0.04620512011865918,0.010890384461670448,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609118,500,0.9856261725233466,0.990920013533134,0.9946576195231069,0.9946576195231072,0.9946576195231072,nan,1.0,1.0000000000000004,0.020184417245160614,0.034675405613640235,0.019641399436221722,0.003706958777988759,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609118,1000,0.990089705384646,0.9942614902052536,0.9958041348158342,0.9958041348158343,0.9958041348158343,nan,1.0,1.0000000000000002,0.013529381665840591,0.023860164027617568,0.013341356523705118,0.0021861580522351516,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609118,2500,0.9934714983206928,0.9967749013672883,0.9966859160913026,0.9966859160913027,0.9966859160913027,nan,1.0,1.0000000000000004,0.008243371860760806,0.014689712454283015,0.008074545824080842,0.001112492685389185,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609118,5000,0.9949155089788114,0.997881244633727,0.9970279721967102,0.9970279721967106,0.9970279721967106,nan,1.0,1.0,0.005790667782356217,0.010213343300081034,0.0055592020107491655,0.0006750185022442117,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609118,10000,0.9958063638972934,0.9985947534899099,0.9972076881477985,0.9972076881477985,0.9972076881477985,nan,1.0,1.0000000000000002,0.004137383996346368,0.00711237072015872,0.003816175571709539,0.0004144432761803817,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609119,0,0.0004417572250133875,0.0050249838335183405,-0.005722818428751,-0.005722818428751002,-0.005722818428751002,nan,-0.0018461538461538468,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609119,125,0.9613106274070271,0.9749916455620816,0.9859659484747675,0.9859659484747676,0.9859659484747676,nan,1.0,1.0000000000000004,0.051257039414898405,0.07599317918093576,0.03510479807725752,0.012092466372695261,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609119,500,0.9846648268306485,0.9909860428126588,0.9936209463153813,0.9936209463153816,0.9936209463153816,nan,1.0,1.0000000000000004,0.021499784589099343,0.03464439477822028,0.015640391325901414,0.0044252882099055394,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609119,1000,0.9893170112200921,0.9942919302597926,0.9949963359418103,0.9949963359418101,0.9949963359418101,nan,1.0,1.0000000000000004,0.014450237614335174,0.02387782305303011,0.0106850745985249,0.0026407992132953585,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609119,2500,0.9928282683655485,0.9967859503518899,0.9960294591129809,0.9960294591129808,0.9960294591129808,nan,1.0,1.0000000000000004,0.00877990060161865,0.014721593247731504,0.006522520863573171,0.0013294180160638564,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609119,5000,0.9942898356437831,0.997886771124257,0.9963953829710921,0.9963953829710921,0.9963953829710921,nan,1.0,1.0000000000000004,0.006140986208755045,0.010243926898744763,0.004444422860124129,0.0007926732467180474,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609119,10000,0.995154764263186,0.9985975288738965,0.996552355889015,0.9965523558890154,0.9965523558890154,nan,1.0,1.0000000000000004,0.004365650840925553,0.00713803437878025,0.0030673614596669206,0.00047711393325866483,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609120,0,-0.00024413095881927713,-0.006177618626865025,0.0016458237252951317,0.0016458237252951272,0.0016458237252951272,nan,-0.006128205128205128,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609120,125,0.9650794375213522,0.9746685426763677,0.9901600150682842,0.990160015068284,0.990160015068284,nan,1.0,1.0,0.046130641806064764,0.07672332146770125,0.044511205617159884,0.012283963460407091,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609120,500,0.9871078150585195,0.9909313828191966,0.996141053351096,0.996141053351096,0.996141053351096,nan,1.0,1.0,0.018557808529650117,0.03479015598690758,0.017434051738824306,0.004209653990931279,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609120,1000,0.9913122208868761,0.9942693273918399,0.9970256512267698,0.9970256512267699,0.9970256512267699,nan,1.0,1.0,0.012267170075139028,0.023945718868085025,0.011780161548902693,0.002518815844704172,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609120,2500,0.9943282142672111,0.9967788172644068,0.9975413736826815,0.9975413736826817,0.9975413736826817,nan,1.0,1.0,0.007319840846091346,0.014741952006069321,0.0073174968594855875,0.0012802398818952696,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609120,5000,0.9956151363543331,0.9978840550804919,0.9977262054846875,0.9977262054846876,0.9977262054846876,nan,1.0,1.0,0.005057752454673653,0.010250355372754025,0.005003748734145218,0.0007755098160259404,0,0,0,1.0
40,100,0.5,1.0,a_reference,202609120,10000,0.9964459163701352,0.9985966173314287,0.9978462357117044,0.9978462357117043,0.9978462357117043,nan,1.0,1.0,0.0035496549807513683,0.0071384071313187695,0.00343257963065441,0.00047542690350966887,0,0,0,1.0
